symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
USDC,2020-11-25 23:59:59,2020-11-25 00:00:00,2020-11-25 23:59:59,2020-11-25 23:41:04,2020-11-25 12:29:04,0.99983029,1.00029245,0.99563957,1.00005264,684764089.21,2871209648.768214,2871058508.45
USDC,2020-11-26 23:59:59,2020-11-26 00:00:00,2020-11-26 23:59:59,2020-11-26 09:07:04,2020-11-26 11:46:04,1.00005262,1.00130433,0.9996175,1.00023493,1029792049.35,2893029204.9162273,2892349700.37
USDC,2020-11-27 23:59:59,2020-11-27 00:00:00,2020-11-27 23:59:59,2020-11-27 18:28:04,2020-11-27 00:32:04,1.00023502,1.00108028,0.99981404,1.00076925,579819717.19,2903445285.1417937,2901213534.95
USDC,2020-11-28 23:59:59,2020-11-28 00:00:00,2020-11-28 23:59:59,2020-11-28 07:25:04,2020-11-28 22:23:04,1.00076906,1.00085979,0.99990268,1.00004266,505337858.95,2967986028.700244,2967859418.94
USDC,2020-11-29 23:59:59,2020-11-29 00:00:00,2020-11-29 23:59:59,2020-11-29 10:54:04,2020-11-29 07:49:04,1.00004264,1.00027257,0.99952345,1.00007259,469745855.54,2964393940.4857416,2964178772.87
USDC,2020-11-30 23:59:59,2020-11-30 00:00:00,2020-11-30 23:59:59,2020-11-30 08:17:04,2020-11-30 06:04:04,1.00007259,1.00047982,0.99966285,1.00019227,707506102.92,2963118009.4410486,2962548407.84
USDC,2020-12-01 23:59:59,2020-12-01 00:00:00,2020-12-01 23:59:59,2020-12-01 02:43:04,2020-12-01 21:15:05,1.00019227,1.00081762,0.99989984,1.00022674,791656263.83,2975385310.80615,2974710824.07
USDC,2020-12-02 23:59:59,2020-12-02 00:00:00,2020-12-02 23:59:59,2020-12-02 14:49:04,2020-12-02 22:31:04,1.0002267,1.00081234,0.99900185,1.00005216,659579564.61,2958068729.426449,2957914440.83
USDC,2020-12-03 23:59:59,2020-12-03 00:00:00,2020-12-03 23:59:59,2020-12-03 08:23:04,2020-12-03 21:15:06,1.00005217,1.00062332,0.99959722,0.99998822,613512931.45,2965255277.8051853,2965290196.94
USDC,2020-12-04 23:59:59,2020-12-04 00:00:00,2020-12-04 23:59:59,2020-12-04 15:35:05,2020-12-04 02:43:04,0.99998822,1.00043653,0.9995646,1.00005416,616718868.63,2963592089.8754344,2963431594.17
USDC,2020-12-05 23:59:59,2020-12-05 00:00:00,2020-12-05 23:59:59,2020-12-05 00:18:04,2020-12-05 08:52:04,1.00005416,1.00033489,0.99965257,1.00002447,528929181.55,3037637283.8580327,3037562946.72
USDC,2020-12-06 23:59:59,2020-12-06 00:00:00,2020-12-06 23:59:59,2020-12-06 23:35:06,2020-12-06 00:03:04,1.00002474,1.00042702,0.99993507,1.00026969,500125499.22,3073447381.023419,3072618725.52
USDC,2020-12-07 23:59:59,2020-12-07 00:00:00,2020-12-07 23:59:59,2020-12-07 04:52:04,2020-12-07 23:30:06,1.00026963,1.00051672,0.99996938,1.00000792,503390381.71,3054758318.4260406,3054734124.48
USDC,2020-12-08 23:59:59,2020-12-08 00:00:00,2020-12-08 23:59:59,2020-12-08 15:26:05,2020-12-08 22:38:04,1.00000797,1.00086483,0.99972115,1.00010151,624652067.08,3057541919.982277,3057231587.03
USDC,2020-12-09 23:59:59,2020-12-09 00:00:00,2020-12-09 23:59:59,2020-12-09 18:01:04,2020-12-09 06:30:04,1.00010151,1.00894295,0.999902,1.00078874,661526814.71,3083762658.2595716,3081332293.92
USDC,2020-12-10 23:59:59,2020-12-10 00:00:00,2020-12-10 23:59:59,2020-12-10 01:33:04,2020-12-10 11:04:04,1.00075173,1.00090843,0.99992021,1.00004617,386067663.54,3081890246.8845024,3081747965.71
USDC,2020-12-11 23:59:59,2020-12-11 00:00:00,2020-12-11 23:59:59,2020-12-11 22:53:04,2020-12-11 00:56:04,1.00004618,1.00136617,0.99787194,0.99999298,575419053.12,3136265939.117368,3136287952.33
USDC,2020-12-12 23:59:59,2020-12-12 00:00:00,2020-12-12 23:59:59,2020-12-12 10:27:04,2020-12-12 22:07:04,0.99999282,1.00061331,0.99433412,1.00000147,372750750.64,3215393827.283072,3215389092.58
