window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
expanding_30d,DAI,PC3,52,5,11,6.5,0.21153846153846154,0.7857142857142857,0.3333333333333333,0.9780278670953912,"[Timestamp('2021-11-23 00:00:00'), Timestamp('2021-12-06 00:00:00')]","[Timestamp('2021-11-16 00:00:00'), Timestamp('2021-11-30 00:00:00')]",0.9992840300403846
expanding_30d,DAI,PC2,24,5,4,6.5,0.16666666666666666,0.5714285714285714,0.25806451612903225,0.9893333333333333,"[Timestamp('2021-11-23 00:00:00'), Timestamp('2021-12-06 00:00:00')]","[Timestamp('2021-11-17 00:00:00'), Timestamp('2021-11-29 00:00:00')]",1.0003110479541666
expanding_30d,DAI,PC6,24,5,2,7.0,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.9882604055496265,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],0.9991432546833333
expanding_30d,DAI,PC8,9,5,1,7.0,0.1111111111111111,0.2,0.14285714285714285,0.9957310565635006,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],0.999567863511111
expanding_30d,DAI,PC1,28,5,0,,0.0,0.0,,0.985082578582845,[],[],0.9991940067357143
expanding_30d,DAI,PC4,25,5,0,,0.0,0.0,,0.9866737739872068,[],[],0.9998090691439999
expanding_30d,DAI,PC5,31,5,0,,0.0,0.0,,0.9834754797441365,[],[],0.9990350182580646
expanding_30d,DAI,PC7,37,5,0,,0.0,0.0,,0.9802771855010661,[],[],0.9995264220135135
expanding_30d,DAI,PC9,31,5,0,,0.0,0.0,,0.9834754797441365,[],[],0.9986961495290322
expanding_30d,DAI,PC10,23,5,0,,0.0,0.0,,0.9877398720682303,[],[],0.9984435308347827
expanding_30d,PAX,PC1,112,23,27,4.125,0.24107142857142858,0.7105263157894737,0.36,0.9540292049756626,"[Timestamp('2023-03-09 00:00:00'), Timestamp('2023-05-24 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-07-24 00:00:00'), Timestamp('2023-09-02 00:00:00'), Timestamp('2023-10-02 00:00:00'), Timestamp('2023-10-05 00:00:00'), Timestamp('2023-12-16 00:00:00')]","[Timestamp('2023-03-07 00:00:00'), Timestamp('2023-05-18 00:00:00'), Timestamp('2023-07-07 00:00:00'), Timestamp('2023-07-17 00:00:00'), Timestamp('2023-09-01 00:00:00'), Timestamp('2023-09-25 00:00:00'), Timestamp('2023-10-03 00:00:00'), Timestamp('2023-12-15 00:00:00')]",0.9948655398964287
expanding_30d,PAX,PC2,113,23,7,3.6,0.061946902654867256,0.2916666666666667,0.10218978102189782,0.9428263214670982,"[Timestamp('2021-09-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-05-24 00:00:00'), Timestamp('2023-07-14 00:00:00')]","[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-04-14 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-05-17 00:00:00'), Timestamp('2023-07-11 00:00:00')]",0.9976027893238938
expanding_30d,PAX,PC10,96,23,5,4.25,0.052083333333333336,0.21739130434782608,0.08403361344537814,0.9509433962264151,"[Timestamp('2023-03-09 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2023-03-03 00:00:00'), Timestamp('2023-06-29 00:00:00'), Timestamp('2023-07-10 00:00:00'), Timestamp('2023-12-11 00:00:00')]",0.9994954554343751
