window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
rolling_90d,DAI,PC9,4,5,1,2.0,0.25,0.2,0.22222222222222224,0.9983991462113126,[Timestamp('2021-04-17 00:00:00')],[Timestamp('2021-04-15 00:00:00')],1.000457085225
rolling_90d,DAI,PC4,7,5,1,7.0,0.14285714285714285,0.2,0.16666666666666666,0.9967982924226254,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],1.0001737205714285
rolling_90d,DAI,PC1,18,5,0,,0.0,0.0,,0.9904102290889718,[],[],0.9973030966222223
rolling_90d,DAI,PC2,6,5,0,,0.0,0.0,,0.9968,[],[],0.9996475615833332
rolling_90d,DAI,PC3,9,5,0,,0.0,0.0,,0.9952,[],[],1.0000193143666667
rolling_90d,DAI,PC5,14,5,0,,0.0,0.0,,0.9925333333333334,[],[],0.9998951158928574
rolling_90d,DAI,PC6,6,5,0,,0.0,0.0,,0.9968,[],[],0.9999548872833334
rolling_90d,DAI,PC7,11,5,0,,0.0,0.0,,0.9941333333333333,[],[],0.9999854554545454
rolling_90d,DAI,PC8,9,5,0,,0.0,0.0,,0.9952,[],[],0.9999071142555555
rolling_90d,DAI,PC10,11,5,0,,0.0,0.0,,0.9941333333333333,[],[],1.0001259666999998
rolling_90d,PAX,PC10,96,23,10,2.875,0.10416666666666667,0.45454545454545453,0.1694915254237288,0.9534380075798592,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-07-24 00:00:00'), Timestamp('2023-09-09 00:00:00'), Timestamp('2023-11-16 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2021-04-14 00:00:00'), Timestamp('2023-04-15 00:00:00'), Timestamp('2023-05-01 00:00:00'), Timestamp('2023-07-02 00:00:00'), Timestamp('2023-07-20 00:00:00'), Timestamp('2023-09-07 00:00:00'), Timestamp('2023-11-13 00:00:00'), Timestamp('2023-12-12 00:00:00')]",0.9996538151166666
rolling_90d,PAX,PC1,73,23,9,2.8333333333333335,0.1232876712328767,0.34615384615384615,0.18181818181818182,0.9655172413793104,"[Timestamp('2021-09-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-12-14 00:00:00'), Timestamp('2023-12-16 00:00:00')]","[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-04-14 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-07-07 00:00:00'), Timestamp('2023-12-13 00:00:00'), Timestamp('2023-12-15 00:00:00')]",0.9982399306945204
