symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
USDT,2020-11-25 23:59:59,2020-11-25,2020-11-25 23:59:59,2020-11-25 16:35:12,2020-11-25 02:01:08,0.99980511,1.00116863,0.99945608,1.00005305,86889311261.6,18655472842.8904,18654483312.02
USDT,2020-11-26 23:59:59,2020-11-26,2020-11-26 23:59:59,2020-11-26 18:56:08,2020-11-26 08:28:09,1.00002093,1.00240844,0.99962383,1.00203454,114616849233.01,18996225426.8317,18957655236.64
USDT,2020-11-27 23:59:59,2020-11-27,2020-11-27 23:59:59,2020-11-27 01:30:10,2020-11-27 15:30:13,1.00195524,1.00211233,1.00066364,1.00119989,71012323469.37,18980402374.0661,18957655236.64
USDT,2020-11-28 23:59:59,2020-11-28,2020-11-28 23:59:59,2020-11-28 02:11:08,2020-11-28 16:13:08,1.00118067,1.00158272,1.00089788,1.00100063,59622219574.79,19057337380.3126,19038287104.76
USDT,2020-11-29 23:59:59,2020-11-29,2020-11-29 23:59:59,2020-11-29 06:08:08,2020-11-29 20:50:12,1.00098106,1.00133848,1.00059867,1.00088981,56283936387.92,19126891187.7666,19109887104.76
USDT,2020-11-30 23:59:59,2020-11-30,2020-11-30 23:59:59,2020-11-30 04:44:08,2020-11-30 19:30:17,1.00092773,1.00116678,0.99998021,1.00037696,78422057481.18,19134597303.7246,19127387104.76
USDT,2020-12-01 23:59:59,2020-12-01,2020-12-01 23:59:59,2020-12-01 13:22:08,2020-12-01 01:43:08,1.00036943,1.00182816,0.99974391,1.00132273,91231924619.41,19379236733.982,19353637102.75
USDT,2020-12-02 23:59:59,2020-12-02,2020-12-02 23:59:59,2020-12-02 00:07:08,2020-12-02 22:07:08,1.00133498,1.00153366,1.00024433,1.00067079,65320503080.74,19417653464.1247,19404637102.75
USDT,2020-12-03 23:59:59,2020-12-03,2020-12-03 23:59:59,2020-12-03 13:01:08,2020-12-03 08:19:08,1.00053399,1.0012006,1.0003898,1.00083972,53438971741.08,19466986494.6036,19450653386.47
USDT,2020-12-04 23:59:59,2020-12-04,2020-12-04 23:59:59,2020-12-04 08:49:09,2020-12-04 20:27:08,1.00082857,1.00121251,0.99992655,1.00023672,57391362136.99,19537072294.6854,19532448591.25
USDT,2020-12-05 23:59:59,2020-12-05,2020-12-05 23:59:59,2020-12-05 08:38:08,2020-12-05 00:19:09,1.00020577,1.00079195,0.99998178,1.00054453,46459783524.29,19645340054.1185,19634648391.45
USDT,2020-12-06 23:59:59,2020-12-06,2020-12-06 23:59:59,2020-12-06 21:26:09,2020-12-06 04:00:12,1.00057468,1.00129059,1.00030984,1.00120332,41702527217.65,19683467750.6623,19659810789.04
USDT,2020-12-07 23:59:59,2020-12-07,2020-12-07 23:59:59,2020-12-07 00:20:09,2020-12-07 17:54:08,1.0011909,1.00126447,1.00024236,1.0005709,41553114204.97,19693247297.5029,19682010789.04
USDT,2020-12-08 23:59:59,2020-12-08,2020-12-08 23:59:59,2020-12-08 00:35:09,2020-12-08 19:55:11,1.00051824,1.00063852,0.99950422,0.99970572,51018510966.3,19707994301.6362,19713795599.23
USDT,2020-12-09 23:59:59,2020-12-09,2020-12-09 23:59:59,2020-12-09 17:37:08,2020-12-09 00:12:08,0.99974064,1.00128072,0.99957945,1.00038358,58645762362.08,19721357389.9679,19713795599.23
USDT,2020-12-10 23:59:59,2020-12-10,2020-12-10 23:59:59,2020-12-10 08:45:15,2020-12-10 14:33:09,1.00037477,1.00071714,0.99971715,1.0002533,42906892985.83,19758499141.0634,19753495599.22
USDT,2020-12-11 23:59:59,2020-12-11,2020-12-11 23:59:59,2020-12-11 23:30:20,2020-12-11 07:55:10,1.00024688,1.0005187,0.99968504,1.00045818,46855379778.39,19778053308.1714,19768995599.22
USDT,2020-12-12 23:59:59,2020-12-12,2020-12-12 23:59:59,2020-12-12 07:43:08,2020-12-12 00:05:09,1.00046067,1.00093341,1.00035082,1.00046356,37175152958.43,19826181940.1413,19816995608.52
USDT,2020-12-13 23:59:59,2020-12-13,2020-12-13 23:59:59,2020-12-13 05:05:11,2020-12-13 10:25:11,1.00045019,1.00065114,0.99983935,0.99995156,39919658599.46,19834034804.9063,19834995608.52
USDT,2020-12-14 23:59:59,2020-12-14,2020-12-14 23:59:59,2020-12-14 04:02:08,2020-12-14 15:03:09,0.99994216,1.00041419,0.99964888,0.99993174,34855969066.81,19833641700.0474,19834995608.52
USDT,2020-12-15 23:59:59,2020-12-15,2020-12-15 23:59:59,2020-12-15 20:39:09,2020-12-15 00:08:09,0.99993176,1.00113238,0.99987555,1.00091748,41060539775.42,19782914876.7397,19764781179.78
USDT,2020-12-16 23:59:59,2020-12-16,2020-12-16 23:59:59,2020-12-16 14:28:08,2020-12-16 02:22:09,1.00091753,1.00217786,0.99768501,0.99997851,65892006749.28,19779356100.6738,19779781179.78
USDT,2020-12-17 23:59:59,2020-12-17,2020-12-17 23:59:59,2020-12-17 15:49:08,2020-12-17 09:19:08,1.0000008,1.00050858,0.99771809,0.99983786,107057692973.56,19994596726.9488,19997839261.7
USDT,2020-12-18 23:59:59,2020-12-18,2020-12-18 23:59:59,2020-12-18 23:52:08,2020-12-18 14:45:13,0.99984401,1.0009375,0.99955938,1.00086776,68567341447.06,20056228135.2777,20038839261.7
USDT,2020-12-19 23:59:59,2020-12-19,2020-12-19 23:59:59,2020-12-19 15:48:08,2020-12-19 22:07:08,1.00087328,1.0012305,1.00044034,1.00049866,59773866552.69,20120367513.6105,20110339261.7
USDT,2020-12-20 23:59:59,2020-12-20,2020-12-20 23:59:59,2020-12-20 00:22:09,2020-12-20 21:47:08,1.00045975,1.00051147,0.99951357,0.99964298,62633975827.95,20293091729.7127,20300339261.7
USDT,2020-12-21 23:59:59,2020-12-21,2020-12-21 23:59:59,2020-12-21 20:20:14,2020-12-21 11:14:08,0.99966784,1.00019809,0.99828801,0.99982731,70204823308.56,20301832633.72,20305339261.7
USDT,2020-12-22 23:59:59,2020-12-22,2020-12-22 23:59:59,2020-12-22 21:10:14,2020-12-22 08:28:08,0.9999281,1.00033905,0.99885657,0.99964118,72277839948.24,20387249195.3051,20394567133.83
USDT,2020-12-23 23:59:59,2020-12-23,2020-12-23 23:59:59,2020-12-23 12:11:09,2020-12-23 21:33:09,0.99968709,1.00022556,0.99907356,0.99942591,85019037324.88,20459114819.8019,20470866934.03
USDT,2020-12-24 23:59:59,2020-12-24,2020-12-24 23:59:59,2020-12-24 18:29:09,2020-12-24 11:49:09,0.99939853,1.00001045,0.99789336,0.99993145,70696999693.72,20531759415.5711,20533166934.03
USDT,2020-12-25 23:59:59,2020-12-25,2020-12-25 23:59:59,2020-12-25 11:59:08,2020-12-25 23:04:09,0.99990881,1.00027744,0.99919961,1.00016775,69379207763.89,20687636701.0349,20684166934.03
USDT,2020-12-26 23:59:59,2020-12-26,2020-12-26 23:59:59,2020-12-26 00:00:10,2020-12-26 23:13:09,1.00021126,1.00021126,0.99831829,0.99848059,70249332947.71,20682693558.1917,20714166934.03
USDT,2020-12-27 23:59:59,2020-12-27,2020-12-27 23:59:59,2020-12-27 22:13:09,2020-12-27 08:14:08,0.99846271,0.99914531,0.99648893,0.99885416,95264858228.06,20729387121.4854,20753166934.03
USDT,2020-12-28 23:59:59,2020-12-28,2020-12-28 23:59:59,2020-12-28 16:08:08,2020-12-28 11:01:08,0.99883298,0.99923925,0.99732428,0.99860308,76757036204.6,20791781912.5994,20820866934.03
USDT,2020-12-29 23:59:59,2020-12-29,2020-12-29 23:59:59,2020-12-29 17:55:14,2020-12-29 16:31:09,0.9986136,0.99905372,0.9983714,0.99858998,76792619209.29,20812479542.8276,20841866934.03
USDT,2020-12-30 23:59:59,2020-12-30,2020-12-30 23:59:59,2020-12-30 22:05:15,2020-12-30 00:01:09,0.99863498,1.00039994,0.99858627,1.00027547,72666964920.79,20893813528.2298,20888059476.37
USDT,2020-12-31 23:59:59,2020-12-31,2020-12-31 23:59:59,2020-12-31 20:53:08,2020-12-31 12:13:08,1.00029104,1.00075226,0.99946172,1.00059753,61468463255.06,20939440704.7145,20926936250.39
